TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
6	Task8CP	6	Task8CPL09	Rectangle	4	P0:(638;555) P1:(1156;555) P2:(1156;595) P3:(638;595)
6	Task8CP	6	Task8CPC10	Rectangle	4	P0:(1238;555) P1:(1981;555) P2:(1981;594) P3:(1238;594)
6	Task8CP	7	Task8CPL11	Rectangle	4	P0:(698;605) P1:(1096;605) P2:(1096;645) P3:(698;645)
6	Task8CP	7	Task8CPC12	Rectangle	4	P0:(1238;605) P1:(1906;605) P2:(1906;644) P3:(1238;644)
6	Task8CP	8	Task8CPL13	Rectangle	4	P0:(698;654) P1:(931;654) P2:(931;694) P3:(698;694)
6	Task8CP	8	Task8CPC14	Rectangle	4	P0:(1238;654) P1:(1981;654) P2:(1981;693) P3:(1238;693)
6	Task8CP	9	Task8CPL15	Rectangle	4	P0:(698;704) P1:(931;704) P2:(931;744) P3:(698;744)
6	Task8CP	9	Task8CPC16	Rectangle	4	P0:(1238;704) P1:(1966;704) P2:(1966;743) P3:(1238;743)
6	Task8CP	10	Task8CPL17	Rectangle	4	P0:(638;753) P1:(661;753) P2:(661;792) P3:(638;792)
6	Task8CP	11	Task8CPL18	Rectangle	4	P0:(638;803) P1:(871;803) P2:(871;843) P3:(638;843)
6	Task8CP	11	Task8CPC19	Rectangle	4	P0:(1118;803) P1:(1726;803) P2:(1726;842) P3:(1118;842)
6	Task8CP	12	Task8CPL20	Rectangle	4	P0:(578;853) P1:(601;853) P2:(601;892) P3:(578;892)
6	Task8CP	13	Task8CPL21	Rectangle	4	P0:(578;952) P1:(1186;952) P2:(1186;992) P3:(578;992)
6	Task8CP	14	Task8CPL22	Rectangle	4	P0:(638;1001) P1:(856;1001) P2:(856;1041) P3:(638;1041)
6	Task8CP	15	Task8CPL23	Rectangle	4	P0:(638;1051) P1:(1066;1051) P2:(1066;1091) P3:(638;1091)
6	Task8CP	16	Task8CPL24	Rectangle	4	P0:(638;1101) P1:(1051;1101) P2:(1051;1141) P3:(638;1141)
6	Task8CP	17	Task8CPL25	Rectangle	4	P0:(578;1150) P1:(601;1150) P2:(601;1189) P3:(578;1189)
7	Task2CM	0	Task2CML00	Rectangle	4	P0:(811;233) P1:(1749;233) P2:(1749;273) P3:(811;273)
7	Task2CM	1	Task2CML01	Rectangle	4	P0:(871;283) P1:(1464;283) P2:(1464;323) P3:(871;323)
7	Task2CM	2	Task2CML02	Rectangle	4	P0:(871;333) P1:(1494;333) P2:(1494;373) P3:(871;373)
7	Task2CM	3	Task2CML03	Rectangle	4	P0:(871;382) P1:(1224;382) P2:(1224;422) P3:(871;422)
7	Task2CM	4	Task2CML04	Rectangle	4	P0:(931;432) P1:(1299;432) P2:(1299;472) P3:(931;472)
7	Task2CM	5	Task2CML05	Rectangle	4	P0:(991;481) P1:(1374;481) P2:(1374;521) P3:(991;521)
7	Task2CM	6	Task2CML06	Rectangle	4	P0:(991;531) P1:(1239;531) P2:(1239;571) P3:(991;571)
7	Task2CM	7	Task2CML07	Rectangle	4	P0:(991;581) P1:(1209;581) P2:(1209;621) P3:(991;621)
7	Task2CM	8	Task2CML08	Rectangle	4	P0:(931;630) P1:(954;630) P2:(954;669) P3:(931;669)
7	Task2CM	9	Task2CML09	Rectangle	4	P0:(931;680) P1:(1269;680) P2:(1269;720) P3:(931;720)
7	Task2CM	10	Task2CML10	Rectangle	4	P0:(871;729) P1:(894;729) P2:(894;768) P3:(871;768)
7	Task2CM	11	Task2CML11	Rectangle	4	P0:(871;779) P1:(1089;779) P2:(1089;819) P3:(871;819)
7	Task2CM	12	Task2CML12	Rectangle	4	P0:(811;829) P1:(834;829) P2:(834;868) P3:(811;868)
7	Task2CM	13	Task2CML13	Rectangle	4	P0:(811;928) P1:(1419;928) P2:(1419;968) P3:(811;968)
7	Task2CM	14	Task2CML14	Rectangle	4	P0:(871;977) P1:(1419;977) P2:(1419;1017) P3:(871;1017)
7	Task2CM	15	Task2CML15	Rectangle	4	P0:(871;1027) P1:(1119;1027) P2:(1119;1067) P3:(871;1067)
7	Task2CM	16	Task2CML16	Rectangle	4	P0:(871;1077) P1:(1569;1077) P2:(1569;1117) P3:(871;1117)
7	Task2CM	17	Task2CML17	Rectangle	4	P0:(871;1126) P1:(1284;1126) P2:(1284;1166) P3:(871;1166)
7	Task2CM	18	Task2CML18	Rectangle	4	P0:(811;1176) P1:(834;1176) P2:(834;1215) P3:(811;1215)
8	Task10CP	0	Task10CPL00	Rectangle	4	P0:(451;185) P1:(1254;185) P2:(1254;225) P3:(451;225)
8	Task10CP	1	Task10CPL01	Rectangle	4	P0:(511;235) P1:(714;235) P2:(714;275) P3:(511;275)
8	Task10CP	1	Task10CPC02	Rectangle	4	P0:(1201;235) P1:(1659;235) P2:(1659;274) P3:(1201;274)
8	Task10CP	2	Task10CPL03	Rectangle	4	P0:(511;284) P1:(954;284) P2:(954;324) P3:(511;324)
8	Task10CP	2	Task10CPC04	Rectangle	4	P0:(1201;284) P1:(1674;284) P2:(1674;323) P3:(1201;323)
8	Task10CP	3	Task10CPL05	Rectangle	4	P0:(511;334) P1:(864;334) P2:(864;374) P3:(511;374)
8	Task10CP	4	Task10CPL06	Rectangle	4	P0:(571;384) P1:(1119;384) P2:(1119;424) P3:(571;424)
8	Task10CP	4	Task10CPC07	Rectangle	4	P0:(1201;384) P1:(2079;384) P2:(2079;424) P3:(1201;424)
8	Task10CP	5	Task10CPL08	Rectangle	4	P0:(571;433) P1:(984;433) P2:(984;473) P3:(571;473)
8	Task10CP	6	Task10CPL09	Rectangle	4	P0:(631;483) P1:(804;483) P2:(804;523) P3:(631;523)
8	Task10CP	6	Task10CPC10	Rectangle	4	P0:(1201;483) P1:(2079;483) P2:(2079;523) P3:(1201;523)
8	Task10CP	7	Task10CPL11	Rectangle	4	P0:(571;533) P1:(1074;533) P2:(1074;573) P3:(571;573)
8	Task10CP	8	Task10CPL12	Rectangle	4	P0:(631;582) P1:(864;582) P2:(864;622) P3:(631;622)
8	Task10CP	8	Task10CPC13	Rectangle	4	P0:(1201;582) P1:(2109;582) P2:(2109;622) P3:(1201;622)
8	Task10CP	9	Task10CPL14	Rectangle	4	P0:(571;632) P1:(699;632) P2:(699;671) P3:(571;671)
8	Task10CP	10	Task10CPL15	Rectangle	4	P0:(631;681) P1:(879;681) P2:(879;721) P3:(631;721)
8	Task10CP	10	Task10CPC16	Rectangle	4	P0:(1201;681) P1:(2094;681) P2:(2094;721) P3:(1201;721)
8	Task10CP	11	Task10CPL17	Rectangle	4	P0:(571;731) P1:(594;731) P2:(594;770) P3:(571;770)
8	Task10CP	12	Task10CPL18	Rectangle	4	P0:(511;781) P1:(534;781) P2:(534;820) P3:(511;820)
8	Task10CP	13	Task10CPL19	Rectangle	4	P0:(511;830) P1:(669;830) P2:(669;870) P3:(511;870)
8	Task10CP	13	Task10CPC20	Rectangle	4	P0:(1201;830) P1:(1929;830) P2:(1929;870) P3:(1201;870)
8	Task10CP	14	Task10CPL21	Rectangle	4	P0:(451;880) P1:(474;880) P2:(474;919) P3:(451;919)
8	Task10CP	15	Task10CPL22	Rectangle	4	P0:(451;979) P1:(1059;979) P2:(1059;1019) P3:(451;1019)
8	Task10CP	16	Task10CPL23	Rectangle	4	P0:(511;1029) P1:(1299;1029) P2:(1299;1069) P3:(511;1069)
8	Task10CP	17	Task10CPL24	Rectangle	4	P0:(511;1078) P1:(759;1078) P2:(759;1118) P3:(511;1118)
8	Task10CP	18	Task10CPL25	Rectangle	4	P0:(511;1128) P1:(1074;1128) P2:(1074;1168) P3:(511;1168)
8	Task10CP	19	Task10CPL26	Rectangle	4	P0:(511;1177) P1:(924;1177) P2:(924;1217) P3:(511;1217)
8	Task10CP	20	Task10CPL27	Rectangle	4	P0:(451;1227) P1:(474;1227) P2:(474;1266) P3:(451;1266)
9	Task3CM	0	Task3CML00	Rectangle	4	P0:(788;233) P1:(1396;233) P2:(1396;273) P3:(788;273)
9	Task3CM	1	Task3CML01	Rectangle	4	P0:(848;283) P1:(1126;283) P2:(1126;323) P3:(848;323)
9	Task3CM	2	Task3CML02	Rectangle	4	P0:(848;333) P1:(1036;333) P2:(1036;373) P3:(848;373)
9	Task3CM	3	Task3CML03	Rectangle	4	P0:(848;382) P1:(1621;382) P2:(1621;422) P3:(848;422)
9	Task3CM	4	Task3CML04	Rectangle	4	P0:(848;432) P1:(1456;432) P2:(1456;472) P3:(848;472)
9	Task3CM	5	Task3CML05	Rectangle	4	P0:(908;481) P1:(1156;481) P2:(1156;521) P3:(908;521)
9	Task3CM	6	Task3CML06	Rectangle	4	P0:(908;531) P1:(1366;531) P2:(1366;571) P3:(908;571)
9	Task3CM	7	Task3CML07	Rectangle	4	P0:(968;581) P1:(1771;581) P2:(1771;621) P3:(968;621)
9	Task3CM	8	Task3CML08	Rectangle	4	P0:(908;630) P1:(1036;630) P2:(1036;669) P3:(908;669)
9	Task3CM	9	Task3CML09	Rectangle	4	P0:(968;680) P1:(1261;680) P2:(1261;720) P3:(968;720)
9	Task3CM	10	Task3CML10	Rectangle	4	P0:(908;729) P1:(931;729) P2:(931;768) P3:(908;768)
9	Task3CM	11	Task3CML11	Rectangle	4	P0:(848;779) P1:(871;779) P2:(871;818) P3:(848;818)
9	Task3CM	12	Task3CML12	Rectangle	4	P0:(848;829) P1:(1111;829) P2:(1111;869) P3:(848;869)
9	Task3CM	13	Task3CML13	Rectangle	4	P0:(788;878) P1:(811;878) P2:(811;917) P3:(788;917)
9	Task3CM	14	Task3CML14	Rectangle	4	P0:(788;977) P1:(1396;977) P2:(1396;1017) P3:(788;1017)
9	Task3CM	15	Task3CML15	Rectangle	4	P0:(848;1027) P1:(1516;1027) P2:(1516;1067) P3:(848;1067)
9	Task3CM	16	Task3CML16	Rectangle	4	P0:(848;1077) P1:(1276;1077) P2:(1276;1117) P3:(848;1117)
9	Task3CM	17	Task3CML17	Rectangle	4	P0:(848;1126) P1:(1261;1126) P2:(1261;1166) P3:(848;1166)
9	Task3CM	18	Task3CML18	Rectangle	4	P0:(788;1176) P1:(811;1176) P2:(811;1215) P3:(788;1215)
10	Task11CP	0	Task11CPL00	Rectangle	4	P0:(293;233) P1:(901;233) P2:(901;273) P3:(293;273)
10	Task11CP	1	Task11CPL01	Rectangle	4	P0:(353;283) P1:(571;283) P2:(571;323) P3:(353;323)
10	Task11CP	1	Task11CPC02	Rectangle	4	P0:(713;283) P1:(1576;283) P2:(1576;322) P3:(713;322)
10	Task11CP	2	Task11CPL03	Rectangle	4	P0:(353;333) P1:(676;333) P2:(676;373) P3:(353;373)
10	Task11CP	2	Task11CPC04	Rectangle	4	P0:(713;333) P1:(1276;333) P2:(1276;372) P3:(713;372)
